"id","state","year","region","state_calamity","calamity","dcb","rcl","juros","amortizacao","primario","dbp","rec_cor","desp_cor","investimentos","desp_total","rec_previdenciarias","inativos","rec_tributaria","obrig_fin","disp_caixa_bruta","stn_end","stn_sdrcl","stn_rpsd","stn_dprcl","stn_cgpp","stn_pidt","stn_pcrdp","stn_rtdc","capag_idc","capag_pc","capag_il"
"ba2013","ba",2013,"nordeste",FALSE,FALSE,15033682987.15,23080634286.15,497803875.93,1681534278.61,300874947.81,13704227244.78,33127356192.82,29869150140.31,2037262606.14,34237808085.76,1133313104.07,4369564803.93,18476905636.4,1885183650.42,5310135522.22,0.651354845831566,0.094422801709906,0.138057945336852,0.593754360251854,0.109082650065523,0.0595033011762026,0.25936521253803,0.585626143353009,0.651354845831566,0.901646058515947,0.355016108822749
"ba2014","ba",2014,"nordeste",FALSE,FALSE,16911138138.28,25870525219.4,543165998.28,797187318.37,1600043471.94,15302634859.13,37004050909.68,32676847132.88,2540215784.98,36314445128.36,1181968001.62,4972291217.67,20301077820.08,1917036594.18,6184259815.4,0.653683603052579,0.0518100543101802,1.19374753810365,0.591508472648044,0.132424152158973,0.0699505603349066,0.237710936443072,0.606472394286549,0.653683603052579,0.883061349489495,0.309986425441927
"ba2015","ba",2015,"nordeste",FALSE,FALSE,21381306825.23,27207610584.58,633856978.55,954914644.8,-570487456.12,16691411749.07,39313393687.7,35907394569.26,2292137950.41,39435478235,1321763223.71,4782365604.29,22435236825.37,1676461257.57,6217355559.37,0.785857573150798,0.0583943826456573,-0.359074550259842,0.613483190564698,0.0948550893011837,0.0581237518346023,0.276382722083046,0.608622663737321,0.785857573150798,0.913362882240674,0.269642172071606
"ba2016","ba",2016,"nordeste",FALSE,FALSE,20172661726.35,28714179024.82,556601894.44,788437381.58,-1117838694.45,17598198987.62,41698737094.94,38481711012.41,3241530762.07,42762117273.84,1409697645.92,5230338044.3,23441353773.31,794293545.24,4658628763.79,0.702533118182245,0.0468423378867065,-0.831082567163175,0.612874878728326,0.0835988317019619,0.0758037947773233,0.269523238073738,0.596925520579329,0.702533118182245,0.922850755043122,0.170499429234152
"ce2008","ce",2008,"nordeste",FALSE,FALSE,3809611863,7886592912,212115579.25,435038174.41,1380243204.86,3703421376.21,11148682744.91,9202017900.82,1078160856.8,10824764184.46,726416407.89,954640281.47,5314953588.09,444474559,2251383884,0.483049132306983,0.0820574563542275,2.13279023269816,0.469584447623128,0.211547604565791,0.0996013251122648,0.760932072519955,0.551512157509486,0.483049132306983,0.825390596482911,0.197422821651503
"ce2009","ce",2009,"nordeste",FALSE,FALSE,3446816883,8400940154,191144566.79,582819555.87,1164640969.04,4202960407.78,11992539968.44,10492697571.29,1984618244.26,13158992107.25,838253825.08,1047564011.52,5799444303.05,687179275.98,2496415270,0.410289422352193,0.0921282747492835,1.50477384537839,0.500296434772103,0.142941544532252,0.150818408285735,0.800193416213016,0.523627405968095,0.410289422352193,0.874935384739426,0.275266412699038
"ce2010","ce",2010,"nordeste",FALSE,FALSE,4259958835,9664272967,189008956.55,301917478.7,877163031.61,4580566066.89,13905613551.24,12325234404.18,3254037983.46,15964233172.78,976107938.86,857018402.11,6966702029.26,980578787.28,2146926202.73,0.440794548078911,0.0507980721287919,1.78675045511312,0.473969028247751,0.128223049983052,0.203833027759099,1.13895796923006,0.551723943283324,0.440794548078911,0.886349556512803,0.456736140270267
"ce2011","ce",2011,"nordeste",FALSE,FALSE,5304460683,10966435332,219495252.51,371586246.91,26437117.51,4949204831.88,15692331348.4,13472581217.71,2686801535.85,16630638030.48,995847966.04,951789219.74,7817749335.2,379035132.81,1063967807.19,0.483699627309305,0.0538991460329162,0.0447266874973104,0.451304793403399,0.164760567765002,0.161557333574679,1.04629044476049,0.564696241589027,0.483699627309305,0.858545548051002,0.356246805823057
"ce2012","ce",2012,"nordeste",FALSE,FALSE,5745082357,12130620628,247099324.96,687040391.61,82786950.67,5805297536,16696244850.03,13742252329.51,2070703199.68,16638191564.83,1099805982.02,1216439707.36,8891278093.27,1117174783.23,2699921322.74,0.473601683968185,0.0770067538353158,0.0886237349740137,0.478565583248079,0.214956940804865,0.124454823807719,0.904118778239222,0.616196390572625,0.473601683968185,0.823074436973491,0.413780495683571
"ce2013","ce",2013,"nordeste",FALSE,FALSE,6980854716.14,13379882291,246480195.8,527673309.92,637825326.6,6501611414.25,18575040419.97,15304742294.1,2239533896.14,18395140660.6,1209819337.6,1411086226.7,10150885779.5,1196935722.94,3241149034.83,0.521742610608442,0.0578595154189612,0.823900327115088,0.48592441045788,0.213678744994661,0.121745951143325,0.857367405838346,0.641145737541313,0.521742610608442,0.823941264625507,0.369293639409204
